Index,header,NumberofInstances,Area,NumberofAttributes,DateDonated,MissingValues,NumberofWebHits,multivariate_data,time_series_data,data_generator_data,domain_theory_data,image_data,relational_data,sequential_data,spatial_data,univariate_data,spatio_temporal_data,text_data,transactional_data,num_data_characteristics,categorical_attributes,real_attributes,integer_attributes,no_listed_attributes,num_attribute_characteristics,causal_discover_task,classification_task,regression_task,function_learning_task,reccomendation_task,description_task,relational_learning_task,no_given_task,clustering_task,num_associated_tasks,source_institution_places,year_donated,year_month_donated,DatasetAge,DatapointCount,data_ext_url,small,dataset_URL,data_folder,shortname
304,2.4 GHZ Indoor Channel Measurements Data Set,7840,Computer,5,11/30/2018,No,57409,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Massachusetts Institute of Technology', 'Boston, MA', 'United States', 'USA'], ['Khalifa University', 'Abu Dhabi', 'United Arab Emirates', 'ARE']]",2018,18-Nov,2,39200,"[['Measurements_Upload_Smaller.zip', '193M']]",0,2.4+GHZ+Indoor+Channel+Measurements,/00480/,00480
18,"3D Road Network (North Jutland, Denmark) Data Set",434874,Computer,4,4/16/2013,No,187989,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,"[['Aarhus University', 'Aarhus', 'Denmark', 'DNK']]",2013,13-Apr,7,1739496,"[['3D_spatial_network.txt', '19M']]",0,3D+Road+Network+%28North+Jutland%2C+Denmark%29,/00246/,00246
261,A study of  Asian Religious and Biblical Texts Data Set,590,Social,8265,12/24/2019,No,16938,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,"[['Rochester Institute of Technology', 'Rochester, NY', 'United States', 'USA']]",2019,19-Dec,1,4876350,"[['AsianReligionsData.zip', '629K']]",0,A+study+of++Asian+Religious+and+Biblical+Texts,/00512/,00512
440,AAAI 2013 Accepted Papers Data Set,150,Computer,5,7/30/2014,No,56703,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,"[['Northeastern University', 'Boston, MA', 'United States', 'USA']]",2014,14-Jul,6,750,"[['%5bUCI%5d%20AAAI-13%20Accepted%20Papers%20-%20Papers.csv', '191K']]",1,AAAI+2013+Accepted+Papers,/00314/,00314
459,AAAI 2014 Accepted Papers Data Set,399,Computer,6,7/30/2014,No,53924,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,"[['Northeastern University', 'Boston, MA', 'United States', 'USA']]",2014,14-Jul,6,2394,"[['%5bUCI%5d%20AAAI-14%20Accepted%20Papers%20-%20Papers.csv', '538K']]",1,AAAI+2014+Accepted+Papers,/00307/,00307
338,Abalone Data Set,4177,Life,8,12/1/1995,No,956229,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,1,0,0,0,0,0,0,0,3,"[['University of Warwick', 'Coventry', 'United Kingdom', 'GBR']]",1995,Dec-95,25,33416,"[['Index', '114B'], ['abalone.data', '187K'], ['abalone.names', '4K']]",1,Abalone,/abalone/,abalone
172,Abscisic Acid Signaling Network Data Set,300,Life,43,4/3/2008,No,56272,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,"[['CFD Research Corporation', 'Huntsville, AL', 'United States', 'USA']]",2008,8-Apr,12,12900,"[['plantCellSignaling.data', '247K'], ['plantCellSignaling.names', '2K']]",1,Abscisic+Acid+Signaling+Network,/abscisic-acid/,abscisic-acid
416,Absenteeism at work Data Set,740,Business,21,4/5/2018,No,174579,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,1,0,0,0,0,0,0,1,2,"[['Universidade Nove de Julho', 'Sao Paulo', 'Brazil', 'BRA']]",2018,18-Apr,2,15540,"[['Absenteeism_at_work_AAA.zip', '64K']]",0,Absenteeism+at+work,/00445/,00445
10,Activities of Daily Living (ADLs) Recognition Using Binary Sensors Data Set,2747,Computer,0,10/28/2013,No,90872,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,"[['Carlos III University of Madrid', 'Madrid', 'Spain', 'ESP']]",2013,13-Oct,7,0,"[['UCI%20ADL%20Binary%20Dataset.zip', '32K']]",0,Activities+of+Daily+Living+%28ADLs%29+Recognition+Using+Binary+Sensors,/00271/,00271
270,Activity Recognition from Single Chest-Mounted Accelerometer Data Set,0,Other,0,3/2/2014,No,110972,0,1,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,,2014,14-Mar,6,0,"[['Activity%20Recognition%20from%20Single%20Chest-Mounted%20Accelerometer.zip', '10M']]",0,Activity+Recognition+from+Single+Chest-Mounted+Accelerometer,/00287/,00287
